,T,G,Gs,w,Xav_w,my_w,my_w_err,Xav_w_err,my_G,my_G_err,my_Gs,my_Gs_err
54,0.0050118723362727,10.725289904131143,10.726955598594827,0.3335404070787924,0.3331713571270009,0.33354040711969235,1.226236738348133e-10,0.0011064626198618393,10.725289904131143,0.0,10.726955598923828,3.067047528519336e-11
55,0.0056234132519034,10.727187591396246,10.728775275742436,0.3335306741967749,0.3332043257946604,0.33353067422688487,9.027646450388515e-11,0.0009784660225957377,10.727187591396248,1.6559390094240352e-16,10.728775275984685,2.2579360773696158e-11
56,0.0063095734448019,10.728799610105533,10.730301206900428,0.3335199459211924,0.3332293256457426,0.3335199459474758,7.88061409949832e-11,0.0008713730775759401,10.728799610105531,1.6556902020306983e-16,10.73030120711192,1.9709723414099546e-11
57,0.0070794578438413,10.730303787858986,10.731691743023424,0.3335057988033241,0.3332426243455574,0.3335057988437031,1.2107445684668717e-10,0.0007891152089654078,10.730303787858984,1.655458106796701e-16,10.731691743348382,3.0280206158278555e-11
58,0.0079432823472428,10.732145485609315,10.733322071083244,0.3334795091966784,0.3332413851746802,0.33347950930500136,3.2482643967345165e-10,0.0007140592560467034,10.732145485609315,0.0,10.733322071955147,8.123332482640364e-11
59,0.0089125093813374,10.735450865695542,10.73612623803357,0.3334172139697378,0.3331836332264342,0.3334172142891001,9.578459080239951e-10,0.0007005668953354543,10.735450865695544,1.654664402662851e-16,10.736126240604946,2.395068708571724e-10
60,0.01,10.742715276025251,10.742174938930688,0.3332662693331336,0.3330478956045573,0.3332662701830118,2.550147732879345e-09,0.0006552555658711222,10.742715276025253,1.653545489904758e-16,10.74217494577819,6.374409424013411e-10
61,0.0112201845430196,10.758659886088598,10.755415757214402,0.332931284638478,0.3326865930679686,0.3329312866173737,5.943856265558224e-09,0.0007349671215679792,10.758659886088594,3.302189786103668e-16,10.755415773182097,1.4846190104358523e-09
62,0.0125892541179416,10.790920349959867,10.782314557575768,0.3322699958724548,0.3320321729466209,0.3322699999247154,1.2195685988988874e-08,0.0007157642223143133,10.790920349959867,0.0,10.782314590371481,3.0416208446935246e-09
63,0.0141253754462275,10.85008753705443,10.832003404692305,0.3311110308495526,0.3308392301098325,0.33111103822699595,2.2280874000495715e-08,0.0008208971788403194,10.85008753705443,0.0,10.832003464726734,5.542319957624527e-09
64,0.0158489319246111,10.94871981669163,10.915591943120576,0.3292990262331186,0.3290260261942042,0.3292990383052987,3.6660235045195273e-08,0.0008290704780055423,10.948719816691627,3.2448667408442494e-16,10.91559204225176,9.081613061241947e-09
65,0.0177827941003892,11.09931120400493,11.04457072500248,0.3267574923649079,0.3264852709547175,0.32675751029967604,5.488708767128392e-08,0.0008331540557670346,11.09931120400493,0.0,11.04457087430016,1.3517743848609919e-08
66,0.0199526231496888,11.311668726815435,11.228617338770697,0.3235438684246636,0.3232502777113851,0.323543892840243,7.546295860279412e-08,0.0009074970517303897,11.311668726815435,0.0,11.228617545906403,1.8447124507888002e-08
67,0.0223872113856834,11.590474008835642,11.473413058545656,0.3198669930495512,0.3196143607054855,0.31986702377671494,9.606230550135753e-08,0.0007899003412300045,11.590474008835642,0.0,11.473413325652452,2.3280499688037896e-08
68,0.0251188643150958,11.93379985893625,11.779129417456852,0.3160523953468095,0.3157630143668197,0.31605243140097183,1.1407652256466383e-07,0.0009157247513307681,11.933799858936244,5.95403596640707e-16,11.779129740154215,2.7395687905958477e-08
69,0.0281838293126445,12.333030039484123,12.140027998205602,0.3124677346755689,0.3122458269280559,0.31246777444359286,1.2727080114354397e-07,0.0007103052976652249,12.33303003948412,2.880649497671302e-16,12.140028366050775,3.030019056767084e-08
70,0.0316227766016837,12.774168232298628,12.545254882078918,0.3094399733319186,0.3091318990446088,0.30944001488893846,1.3429749832373772e-07,0.00099572075201795,12.774168232298619,6.952925650802267e-16,12.54525528022118,3.173648151248025e-08
71,0.0354813389233575,13.24014912378453,12.98058550049748,0.3071942900481115,0.3066176470431724,0.3071943314869152,1.348944282961993e-07,0.0018772626465842772,13.24014912378452,8.049864798920796e-16,12.980585911989428,3.1700568130076324e-08
72,0.0398107170553497,13.71362005940205,13.430714751257334,0.3058273155282334,0.3051572143204513,0.30582735521092963,1.297552215783223e-07,0.0021912392042763677,13.71362005940205,0.0,13.4307151594024,3.0388930250140263e-08
73,0.0446683592150963,14.179740906525522,13.881709100652602,0.3053091441902849,0.3049228424882102,0.3053091808856845,1.2019094709622243e-07,0.0012654005239983814,14.179740906525518,2.5054856095188183e-16,13.881709490901043,2.811241957034714e-08
74,0.0501187233627272,14.628769768902323,14.323389603159033,0.3054995810249232,0.3055924011475839,0.30549961394070224,1.0774409375600149e-07,0.00030372282859798187,14.628769768902322,1.2142899693290753e-16,14.323389964297046,2.52131663395348e-08
75,0.0562341325190349,15.058494152548947,14.751645841677876,0.3061638782060969,0.3067099265479258,0.30616390694773066,9.387662323167804e-08,0.001783422499531739,15.058494152548949,1.1796377655062985e-16,14.751646166282171,2.2004615063568794e-08
76,0.0630957344480193,15.47683702007783,15.1709148983523,0.3069780669587147,0.3078203924534691,0.306978091450286,7.978279868552824e-08,0.0027438472863120194,15.476837020077825,3.4432555639679107e-16,15.170915182641336,1.8739082748611262e-08
77,0.0707945784384138,15.905013635662604,15.597129460713294,0.3075230924451844,0.3084659836574122,0.3075231128400864,6.631989966902979e-08,0.003066016107270937,15.905013635662604,0.0,15.597129703999189,1.5598119600093184e-08
78,0.0794328234724282,16.38134293099006,16.06124234658278,0.307279255776463,0.3081877290283973,0.30727927237641195,5.40223518579175e-08,0.002956452756997265,16.38134293099006,0.0,16.061242550529872,1.269808929550312e-08
79,0.0891250938133745,16.965753847545788,16.613312852545373,0.3056351048378634,0.3065303793481043,0.3056351180295849,4.316166799807187e-08,0.0029291834141675892,16.96575384754578,4.1880999933456264e-16,16.613313020400987,1.010368092425529e-08
80,0.1,17.747055488603646,17.328288354330457,0.3018714280392711,0.3030610575381616,0.30187143824989926,3.3824426171271474e-08,0.003940814325327217,17.747055488603646,0.0,17.328288490236897,7.84303885270554e-09
81,0.1122018454301963,18.864512528422065,18.320224040674447,0.2948633234367037,0.2968287081168534,0.29486333110143326,2.599417684329425e-08,0.006665382935472787,18.864512528422065,0.0,18.320224149117987,5.919334801096497e-09
82,0.1258925411794168,20.659494050610387,19.885837995394866,0.2834027104232552,0.2850525496506889,0.2834027104232548,1.3711162396381927e-15,0.005821536515900163,20.659494050609847,2.613870784322211e-14,19.88583799539434,2.644100915356207e-14
83,0.1412537544622755,24.201406431174952,23.07364492298726,0.27120132397292,0.2647095110115735,0.2712013239729203,1.023430682749924e-15,0.023937246567406267,24.201406431175187,9.688656048467803e-15,23.073644922987484,9.700286301166332e-15
84,0.1584893192461114,29.30764682383569,27.69120418610635,0.2597942715567007,0.239514431695173,0.2597942715567001,2.3504084977892506e-15,0.07806115100232693,29.307646823835405,9.697711181400316e-15,27.691204186106074,1.0007208970907755e-14
